Nama Karyawan,Jabatan,No. HP,Kode,Shift,Lokasi,Latitude,Longitude
Budi Santoso,Operator Excavator,08123456001,EMP-001,Pagi,Site A - Lavenue,-6.24832,106.84326
Andi Pratama,Operator Dump Truck,08123456002,EMP-002,Pagi,Site A - Lavenue,-6.24832,106.84326
Dedi Kurniawan,Operator Bulldozer,08123456003,EMP-003,Malam,Site A - Lavenue,-6.24832,106.84326
Rizki Ramadhan,Mekanik,08123456004,EMP-004,Pagi,Site A - Lavenue,-6.24832,106.84326
Hendra Wijaya,Surveyor,08123456005,EMP-005,Malam,Site B - Pakuwon,-6.22161,106.84330
Agus Setiawan,Foreman,08123456006,EMP-006,Pagi,Site B - Pakuwon,-6.22161,106.84330
Joko Susilo,Operator Crane,08123456007,EMP-007,Malam,Site B - Pakuwon,-6.22161,106.84330
Rudi Hartono,Safety Officer,08123456008,EMP-008,Pagi,Site A - Lavenue,-6.24832,106.84326
Dimas Prayogo,Operator Loader,08123456009,EMP-009,Malam,Site A - Lavenue,-6.24832,106.84326
Fajar Nugroho,Electrician,08123456010,EMP-010,Pagi,Site B - Pakuwon,-6.22161,106.84330
